CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithoutCoffee,CoffeeType,CoffeeSolveBugs,Gender,Country,AgeRange
8,2,Before coding,Yes,Caffè latte,Sometimes,Female,Lebanon,18 to 29
3,2,Before coding,Yes,Americano,Yes,Female,Lebanon,30 to 39
5,3,While coding,No,Nescafe,Yes,Female,Lebanon,18 to 29
8,2,Before coding,No,Nescafe,Yes,Male,Lebanon,18 to 29
10,3,While coding,Sometimes,Turkish,No,Male,Lebanon,18 to 29
8,2,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,30 to 39
5,2,While coding,Yes,Nescafe,Sometimes,Male,Lebanon,18 to 29
10,4,Before coding,Sometimes,Turkish,Sometimes,Male,Lebanon,18 to 29
10,2,While coding,Yes,American Coffee,Sometimes,Male,Lebanon,30 to 39
10,2,While coding,Yes,Nescafe,No,Male,Lebanon,30 to 39
10,3,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,30 to 39
2,3,Before coding,Sometimes,Turkish,Yes,Male,Lebanon,30 to 39
8,2,Before and while coding,No,Nescafe,Yes,Male,Lebanon,30 to 39
9,3,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,30 to 39
6,1,Before coding,Yes,Nescafe,Sometimes,Male,Lebanon,18 to 29
6,3,While coding,No,Americano,Yes,Female,Lebanon,30 to 39
10,3,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,30 to 39
6,4,While coding,Yes,Turkish,Sometimes,Male,Lebanon,30 to 39
8,3,While coding,No,Nescafe,No,Male,Lebanon,18 to 29
3,1,In the morning,Yes,Nescafe,Sometimes,Female,Lebanon,30 to 39
3,3,While coding,Yes,Espresso (Short Black),Sometimes,Male,Lebanon,18 to 29
9,5,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,18 to 29
4,2,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,18 to 29
8,3,While coding,No,Turkish,No,Male,Lebanon,40 to 49
